width	300	height	900
6	4	5	311.039
12	4	0	74.3203
2	2	5	2.91406
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	7	0.945313
14	1	1	0.554688
13	1	5	153.82
17	12	1	209.07
1	13	6	10.3086
17	4	0	0.964844
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	1.73828
2	2	0	1.55859
0	6	6	25.7344
0	7	6	187.652
13	1	5	515.07
17	12	6	965.621
13	17	0	99.8438
17	6	6	757.563
5	5	6	640.398
5	5	3	423.172
0	11	6	853.004
11	0	0	72.2852
0	6	3	302.426
17	10	6	466.855
14	1	5	472.844
14	1	0	91.8398
15	13	3	402.531
12	9	5	682.109
17	13	1	278.602
16	12	1	135.891
0	10	3	274.855
0	10	6	539.879
16	4	5	753.07
5	4	5	404.961
0	7	1	208.789
17	12	6	1273.75
9	6	0	29.5742
0	10	3	378.012
0	7	3	424.055
14	1	0	112.59
0	11	6	480.809
16	12	4	16.4141
14	1	0	3.83984
2	2	0	0.433594
1	0	2	1.55859
0	0	3	2.12891
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	0.0585938
0	7	0	20.5508
14	6	5	394.453
2	2	0	133.441
14	8	6	446.34
0	6	5	61.6953
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
15	2	5	41.1484
13	17	2	149.477
1	4	6	776.863
9	6	5	617.703
10	7	7	883.031
0	10	3	565.664
9	6	5	739.539
17	12	6	1447.18
17	13	6	1430.05
10	0	7	496.594
0	7	1	245.336
13	17	0	148.969
10	7	7	879.445
14	15	0	101.844
0	11	4	322.824
0	10	4	486.129
12	17	0	39.9063
17	10	6	333.91
13	17	5	507.648
17	13	6	939.449
10	7	0	71.6133
0	6	6	685.906
0	6	6	499.234
7	10	5	139.961
0	6	3	303.746
5	5	6	222.648
9	6	0	55.4492
14	2	5	501.922
13	17	0	141.969
15	14	4	849.477
9	6	0	97.1992
9	6	0	49.8242
0	7	3	253.785
16	12	4	45.6719
16	3	0	0.339844
1	0	3	3.40234
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	2	0.0820313
5	17	4	22.582
0	6	6	957.367
17	10	4	756.051
17	5	0	115.855
0	6	2	20.6328
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	4	8.36719
2	2	6	10.7148
15	13	3	108.141
17	5	1	82.9922
12	3	3	26.25
14	15	4	571.922
17	12	2	550.91
15	9	6	1035.39
1	10	7	1095.91
13	17	0	175.469
5	5	3	211.66
0	11	3	247.188
1	14	6	467.047
12	4	6	153.195
16	9	6	181.988
14	6	6	30.5391
11	0	2	246.777
13	17	0	144.719
17	13	6	571.996
17	10	5	197.227
17	10	0	41.1914
0	7	6	431.441
6	4	5	314.055
17	6	1	225.906
10	7	7	842.797
10	7	2	360.559
9	6	5	802.477
17	13	0	206.059
16	13	0	160.84
6	4	7	507.43
10	7	7	249.492
0	11	3	406.762
9	6	5	611.75
15	9	0	144.242
6	4	2	266.207
16	13	0	124.465
16	3	0	106.473
17	12	1	204.242
13	17	7	474.93
6	4	5	262.969
17	4	0	1.27734
1	0	5	1.17969
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	1	0.507813
15	13	0	28.3906
5	1	7	241.813
15	14	6	985.492
1	13	1	11.0547
2	2	4	5.18359
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
17	4	5	17.5938
13	17	2	55.3711
16	4	1	102.914
0	7	6	560.699
13	17	0	106.344
6	4	6	401.453
17	13	3	673.465
15	9	5	904.891
14	8	0	164.895
9	6	5	674.992
2	2	6	1502.5
15	14	0	189.227
1	5	5	528.648
15	13	6	99.8438
15	14	6	146.586
14	8	6	107.473
0	12	4	262.984
17	10	3	132.613
12	4	6	151.156
8	13	7	26.7578
0	6	6	676.914
0	7	6	929.441
9	6	5	686.688
17	12	4	986.52
17	12	6	1480.49
9	6	7	903.008
0	9	1	207.578
14	6	0	114.492
15	2	0	130.246
17	10	6	314.785
9	6	3	162.785
17	6	6	739.992
7	3	5	493.453
7	4	2	55.6875
15	13	3	268.934
6	4	0	34.3516
0	7	3	205.984
15	14	3	258.152
17	5	6	619.105
14	6	0	46.9922
13	8	6	5.51563
16	3	0	9.84766
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	1	1.10156
16	9	3	131.875
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	5	0.0390625
15	13	3	107.906
5	3	6	19.2773
1	0	6	591.934
17	4	6	554.598
16	4	0	121.793
13	17	4	654.711
16	9	0	164.559
13	1	7	638.43
2	5	1	51.3281
9	6	7	786.781
0	7	4	491.074
16	13	0	116.34
17	11	4	738.094
17	5	5	1022.53
5	17	6	268.777
14	8	3	94.4102
1	0	2	110.68
1	0	0	44.3633
1	14	7	332.609
0	7	3	384.156
0	7	6	975.395
14	6	3	558.277
17	13	6	1336.57
16	4	6	1278.92
17	5	6	1313.5
14	6	6	1077.05
1	5	2	197.07
7	10	6	395.68
17	6	7	323.18
15	2	3	257.766
12	4	0	34.7578
0	6	1	118.016
12	3	4	16.3555
15	13	1	216.297
17	13	0	75.1836
9	6	5	353.734
16	9	5	964.063
14	8	1	299.789
12	17	7	679.875
15	13	6	284.742
17	4	6	592.082
14	6	6	156.531
17	13	1	121.32
16	3	0	24.0977
17	4	0	1.40234
2	2	7	8.07813
1	0	5	1.34375
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	2	0.136719
1	0	4	0.347656
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	6	6	53.375
0	7	6	489.746
16	15	7	827.008
17	13	0	68.8086
14	9	1	78.5156
16	12	3	217.258
14	15	2	321.84
14	15	7	860.359
14	6	0	2.05469
15	2	6	550.645
13	17	0	105.844
16	3	1	136.633
9	6	6	238.801
12	17	5	411.547
9	13	0	62.4102
4	1	4	186.465
2	2	0	29.6289
2	2	6	246.488
4	1	0	51.7461
2	5	6	31.6172
17	5	6	1219.43
0	7	4	655.48
0	7	4	474.473
17	5	6	815.293
17	13	6	816.465
16	12	5	572.492
9	6	1	244.289
13	1	4	534.594
15	13	6	53.8594
17	4	3	159.289
1	14	0	63.0391
17	13	7	688.172
2	1	4	286.473
7	3	0	29.2266
15	7	7	778.164
0	7	3	364.223
16	13	1	141.336
0	10	0	92.8242
17	5	6	1263.29
15	14	3	610.246
9	6	0	72.0117
15	2	0	74.6836
13	8	4	148.438
17	13	1	151.523
14	6	4	82.6797
13	8	6	60.2578
16	9	0	33.0664
1	0	5	4.09375
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	1	0.117188
0	0	0	0.0625
2	2	0	1.94141
4	1	6	123.02
2	5	6	17.0313
13	17	0	138.656
16	3	3	296.32
17	5	5	402.836
6	4	0	32.9766
9	6	5	230.68
13	8	0	69.6797
2	7	5	88.875
15	14	2	94.4453
17	13	6	371.098
15	13	3	217
0	7	3	355.188
0	12	2	182.109
17	10	7	286.273
16	9	0	10.2461
14	6	4	118.648
17	10	5	125.227
0	11	7	336.875
16	3	1	357.914
6	4	0	122.727
9	6	4	572.254
0	7	5	497
16	3	0	66.2852
16	3	3	207.855
17	10	6	159.949
4	1	7	469.633
13	17	5	823.695
13	1	7	808.391
17	10	3	175.387
0	11	0	66.6602
9	6	5	513.523
0	6	5	849.648
9	6	6	779.52
13	17	1	293.453
11	13	0	112.461
17	13	0	123.621
16	3	1	299.711
9	6	5	706.977
17	5	0	150.855
17	13	5	741.883
15	13	0	95.9219
14	15	3	358.301
17	5	0	66.043
17	5	6	400.973
14	8	0	25.6445
9	6	0	21.4492
15	2	0	45.4336
16	3	0	3.78516
2	2	6	13.1055
2	2	3	3.47266
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0.113281
0	0	0	0.9375
4	1	0	16.6836
3	14	1	24.25
13	17	6	685.102
16	9	6	302.598
14	1	7	405.172
14	8	6	59.0195
0	6	4	247.297
17	5	6	357.793
15	13	0	21.6094
15	13	5	88.7891
16	9	5	114.977
15	9	1	46.0938
0	7	0	112.113
5	3	3	482.109
6	0	3	260.008
2	2	5	310.5
15	14	6	182.359
0	0	0	50.3125
14	6	1	13.2031
2	7	7	279.438
13	17	5	859.297
9	6	6	719.129
1	4	4	572.551
9	6	3	69.3242
14	9	6	25.0781
16	15	0	41.8086
14	8	4	113.168
14	15	1	75.5625
12	3	1	1.64844
11	13	3	141.703
17	10	0	45.4414
14	8	1	20.0078
9	6	6	265.543
9	6	6	472.309
15	13	0	156.297
16	13	6	812.246
9	6	7	477.438
17	12	3	534.238
17	13	2	545.746
14	6	6	1035.23
9	6	0	102.324
12	3	2	31.207
15	13	0	63.6719
17	12	1	173.867
1	14	2	170.887
17	12	1	64.9609
13	17	5	331.906
14	15	3	188.422
17	12	7	466.641
15	14	1	43.6719
16	3	0	4.91016
2	2	0	1.74609
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	0.816406
4	1	6	172.551
3	14	5	208.063
1	14	1	194.438
15	9	7	244.313
15	14	0	26.2891
15	14	5	136.508
14	6	0	14.5703
17	13	5	255.539
16	3	3	162.441
14	8	0	16.668
17	10	6	175.973
16	9	5	170.531
17	10	2	191.336
0	7	1	169.82
13	14	6	541.566
0	12	5	355.203
2	2	6	331.66
2	2	0	44.9414
14	6	3	26.2227
14	6	6	29.9766
15	14	4	301.273
17	12	4	427.371
14	8	1	87.0547
14	8	3	160.75
16	9	0	32.7461
14	6	6	11.0391
17	13	0	52.1211
17	10	1	61.8672
6	4	6	279.031
17	11	0	78.4219
17	5	5	536.82
16	12	0	55.8906
14	6	1	31.1719
16	3	2	250.445
16	3	6	753.949
13	8	5	374.867
17	13	7	684.805
14	5	5	208.859
16	3	6	708.285
9	6	6	652.043
17	10	0	175.566
15	14	6	1168.52
17	13	0	150.496
15	13	6	254.93
14	6	6	86.7891
0	12	1	121.297
17	11	1	68.625
15	15	5	280.039
14	8	4	16.5898
15	9	2	53.582
17	13	5	251.547
16	9	0	8.68359
16	3	0	3.41016
1	0	6	15.3477
1	0	1	0.726563
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	1	0	11.4336
14	16	4	698.762
0	7	2	345.156
14	6	7	170.672
14	6	0	4.42969
17	12	0	28.1367
17	12	2	67.4531
14	8	5	90.5
17	4	6	288.387
14	8	2	60.7617
14	8	0	21.9805
15	9	2	1.24219
14	8	2	27.3516
12	4	1	9.89063
15	13	7	462.492
3	14	3	90.832
17	10	7	343.172
14	6	0	9.38281
17	14	0	37.8984
2	2	0	50.2539
16	9	6	129.371
16	9	6	220.121
14	6	6	150.219
14	6	6	158.383
14	6	6	104.555
14	6	0	1.88281
17	11	1	100.188
1	14	3	296.902
13	1	5	488.453
0	11	1	201.195
2	2	2	264.461
1	0	1	170.961
17	4	3	343.664
17	14	6	561.852
14	8	0	24.7695
16	9	6	325.16
14	6	3	102.422
14	6	6	158.594
14	8	5	131.641
16	9	6	351.137
1	4	1	154.898
16	14	3	614.277
13	8	7	1059.93
0	7	5	696.844
9	6	0	20.3867
17	4	0	56.5898
14	6	6	13.9922
17	13	3	204.094
15	15	5	231.781
17	10	6	201.785
17	10	3	134.75
16	3	1	107.461
17	10	0	24.3164
2	2	6	252.941
16	9	0	31.8789
1	0	6	5.71484
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	5	5.8125
16	12	5	77.5313
14	15	2	278.188
14	15	6	877.008
1	14	5	591.883
15	9	0	34.1172
14	8	0	2.79297
17	12	7	246.344
12	4	6	321.844
17	10	5	133.008
13	6	0	19.6523
17	13	1	90.7891
14	8	0	3.41797
15	14	2	130.895
14	8	3	60.4102
17	10	5	397.195
15	14	0	65.1016
16	15	6	448.277
15	14	0	31.4141
16	9	5	50.2969
2	2	5	293.789
2	2	0	45.0664
14	6	1	16.4688
16	9	5	116.375
15	14	4	292.82
15	9	1	79.0156
14	6	7	139.445
17	11	3	271.395
14	15	1	180.875
9	6	5	662.516
0	11	1	229.133
14	6	7	209.648
2	2	0	89.2539
1	0	7	698.664
2	2	7	684.445
1	0	0	88.2383
1	0	1	169.648
2	2	0	80.6914
14	8	0	24.0195
17	10	3	243.25
17	14	0	80.1484
1	0	7	610.93
2	2	2	218.656
0	12	4	379.25
0	11	4	445.426
2	7	4	70.8086
1	14	0	81.4766
9	6	0	19.3242
17	4	0	49.2773
14	5	6	94.0898
12	4	7	272.375
17	13	7	328.898
14	6	2	41.8516
16	9	2	99.7148
15	15	7	594.281
1	14	2	99.332
14	8	0	23.418
17	10	0	15.8086
0	0	0	0
0	0	1	0.703125
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
15	13	7	204.555
7	10	1	44.9531
15	14	0	133.289
14	6	0	71.4297
15	14	4	364.477
15	14	0	55.4766
0	6	3	312.629
17	10	0	25.6914
14	6	4	93.9141
17	12	2	97.5938
1	10	0	14.6914
14	15	0	74.4063
15	15	5	306.719
14	8	5	95.9141
15	6	4	166.441
14	8	3	70.6914
14	8	2	40.3281
2	2	0	70.3164
14	6	7	72.6797
16	9	5	81.2734
17	13	0	46.5586
12	4	0	28.0703
14	6	6	53.3906
15	9	2	54.5156
14	6	3	106.168
14	6	6	186.063
15	14	0	42.2266
6	4	6	7.91406
0	6	1	190.094
0	12	1	200.594
14	6	0	39.0547
12	4	4	85.1172
2	2	3	356.18
1	0	6	627.441
1	0	5	517.156
2	2	0	85.3789
1	0	7	695.891
14	8	6	186.504
2	2	3	337.379
2	2	3	318.555
2	2	5	476.664
1	0	6	557.316
1	0	7	617.086
12	4	0	0.945313
2	2	5	438.492
14	8	3	51.6211
17	10	6	359.324
8	7	3	12.1328
17	13	7	438.148
16	3	2	147.301
15	15	3	174.871
17	4	3	176.949
14	6	5	105.32
17	10	2	102.027
16	3	6	435.863
15	15	7	452.234
17	4	0	29.2148
13	8	2	75.9375
0	0	3	2.49609
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	2	0.75
17	4	1	2.97656
13	17	4	281.859
17	10	6	715.77
15	13	6	583.227
15	9	0	69.1172
6	4	0	52.6641
12	9	1	165.961
13	14	0	101.957
6	0	3	307.926
14	6	1	5.125
14	6	4	43.5859
12	4	3	99.7773
16	3	6	488.965
6	4	0	37.9766
5	3	4	214.715
14	1	3	305.98
15	14	0	52.3516
1	0	0	72.7383
14	8	7	28.9766
1	0	1	97.3047
14	6	6	64.4297
2	2	5	289.977
17	4	6	316.512
16	9	5	88
14	6	3	2.88281
14	6	3	23.7695
14	6	0	4.92969
16	9	1	74.9766
16	14	4	460.617
17	10	3	320.277
14	8	0	36.1445
2	2	1	185.555
14	6	0	33.3047
2	2	0	87.0039
12	4	0	14.4922
1	0	0	90.2383
14	8	6	183.48
2	2	1	173.477
2	2	1	169.32
2	2	1	166.148
2	2	2	243.527
2	2	7	647.102
2	2	3	304.023
2	2	2	217.203
2	2	0	72.7539
1	0	1	134.773
2	2	5	402.898
17	14	6	414.719
14	1	5	448.68
15	13	6	258.805
12	4	0	27.3203
17	13	5	299.578
14	6	7	93.1094
2	2	1	80.6797
17	10	6	188.488
14	6	6	69.4688
14	8	7	119.133
17	10	3	33.6211
15	14	5	60.0938
15	14	7	22.4531
2	2	4	0.433594
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	6	7.65234
16	12	5	45.1797
1	10	0	21.2461
17	13	6	620.738
12	4	5	214.609
14	6	5	413.148
13	8	0	85.8672
5	5	0	81.7813
13	17	0	166.406
2	12	1	48.7891
14	1	7	394.656
17	12	6	282.34
13	8	0	6.42969
17	12	6	662.145
14	1	7	426.609
16	9	6	122.699
14	8	3	59.9023
17	4	6	499.566
12	4	0	2.19531
17	10	0	45.2539
14	6	4	15.6016
17	10	5	253.43
9	6	5	75.3047
15	14	7	449.664
15	14	1	86.125
17	10	0	46.3164
14	6	5	48.6953
15	14	2	178.309
17	10	5	539.289
15	14	6	584.484
16	15	7	797.969
14	6	7	388.211
1	0	2	287.258
2	2	0	92.1914
14	6	3	136.715
17	14	6	661.508
12	4	1	39.9063
16	3	0	100.598
0	0	0	88
2	2	0	85.0664
2	2	5	505.75
1	0	0	82.7383
1	0	0	81.2383
2	2	0	81.1914
2	2	3	296.203
1	0	7	583.25
14	8	1	38.7266
14	8	3	71.4648
1	0	0	67.3633
7	10	1	72.4063
0	6	2	191.719
17	14	6	383.578
2	2	2	167.699
15	14	1	65.2188
15	14	1	64.25
1	0	3	168
17	14	1	76.7969
17	10	3	71.1016
14	6	7	239.297
14	6	5	196.156
17	4	0	30.3398
16	3	0	1.47266
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
15	2	1	3.63281
16	14	2	236.746
13	8	7	318.836
1	4	6	676.473
9	6	1	182.07
13	17	6	843.898
12	9	5	567.305
9	6	1	126.961
15	2	7	668.813
15	9	6	59.4531
15	14	2	84.5078
17	10	7	196.359
14	15	2	80.0078
12	4	4	99.1875
17	10	1	61.0859
17	12	5	238.031
14	8	2	53.082
14	8	0	14.957
17	13	6	458.598
17	13	1	127.992
15	14	4	303.867
15	14	4	392.406
14	6	1	69.75
17	12	1	165.711
1	10	3	38.9258
2	2	6	714.59
6	4	0	18.4766
14	1	1	163.18
9	6	1	173.289
2	7	5	31.8672
16	9	3	238.625
14	6	6	229.078
14	8	3	121.371
14	8	6	217.441
14	6	3	122.762
14	8	6	189.84
12	4	6	56.1172
15	9	3	170.777
14	6	4	132.758
17	4	6	612.738
14	6	1	54.2031
2	2	3	334.875
14	8	1	47.4141
1	0	0	81.3633
1	0	3	304.59
1	0	1	150.648
1	0	3	312.695
17	14	6	515.531
2	2	1	145.602
14	1	7	503.633
0	0	0	60
0	0	0	55.0625
12	4	6	172.875
1	0	7	429.938
14	8	0	6.41797
2	2	4	220.902
1	0	0	41.6133
2	2	0	38.9414
14	8	0	26.543
12	4	0	54.3828
14	6	0	31.1328
14	8	0	31.1055
2	2	5	15.9063
1	0	3	0.523438
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	7	0	31.1758
16	3	7	671.625
15	14	5	527.617
16	9	6	446.965
9	6	6	429.355
15	6	0	109.191
16	3	6	896.52
15	13	6	607.023
15	9	0	28.3047
13	8	2	4.60547
15	9	5	17.3906
17	13	7	252.938
9	6	6	227.762
15	14	0	39.8516
2	9	5	322.109
17	10	6	199.176
15	9	5	142.75
14	6	0	0.492188
15	14	2	194.371
17	14	3	398.531
14	6	2	131.461
2	2	0	99.5664
14	1	5	650.508
0	7	6	821.996
11	3	1	118.211
8	13	1	25.5234
2	7	4	0.917969
0	7	7	786.508
13	1	7	739.773
16	15	6	580.582
14	6	0	31.6797
2	2	6	588.184
14	8	1	54.4609
13	9	6	377.082
0	6	3	352.848
14	8	0	20.5195
17	14	3	307.605
14	6	3	76.0586
